Pfam	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
PF00814	tRNA N6-adenosine threonylcarbamoyltransferase	2	2	2	2	2	2	1	2	2	2	1	2	1	1	2	3	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	1	2	1	2
PF00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1
PF01725	Ham1 family	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
PF01925	Sulfite exporter TauE/SafE	4	4	4	4	7	3	3	6	2	3	2	4	1	1	7	4	4	4	2	3	6	1	6	7	2	4	5	3	1	5	6	4	4	0	1	1	5	3	6	5	2	4
PF07969	Amidohydrolase family	1	1	0	1	4	1	0	0	3	1	0	4	3	4	7	2	1	1	0	1	7	4	0	4	2	2	2	0	1	2	4	1	0	2	2	1	2	0	4	2	0	1
PF00664	ABC transporter transmembrane region	5	2	7	2	7	4	3	3	7	1	3	5	3	7	11	3	5	7	2	1	9	8	3	7	4	6	5	3	4	6	8	2	7	5	5	4	6	3	8	5	5	5
PF06850	PHB de-polymerase C-terminus	1	2	0	0	1	1	1	1	0	0	0	2	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	1
PF13975	gag-polyprotein putative aspartyl protease	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	3	0	0	1	1	0	1	0	3	0	0	1
PF01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)	2	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
PF02913	FAD linked oxidases, C-terminal domain	6	2	3	2	4	1	1	1	2	2	1	1	1	2	4	1	6	3	1	2	6	2	1	4	3	2	1	1	1	1	0	2	3	2	2	1	1	1	0	1	2	2
