Pfam	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
PF02537	CrcB-like protein, Camphor Resistance (CrcB)	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
PF00430	ATP synthase B/B' CF(0)	2	0	1	1	2	2	0	1	1	1	1	2	2	1	2	1	2	1	1	1	2	1	2	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2
PF02562	PhoH-like protein	1	1	2	2	1	2	2	2	1	2	1	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	2	2	1	1	1	2	2	2	1	2	1
PF04403	Paraquat-inducible protein A	2	0	0	1	1	1	1	1	0	3	0	0	0	1	1	3	1	0	0	3	1	1	1	1	0	2	0	1	0	3	1	3	0	1	1	0	3	1	1	0	0	2
PF04386	Stringent starvation protein B	1	1	1	1	1	2	0	1	1	1	0	1	1	0	1	1	1	2	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1
PF01235	Sodium:alanine symporter family	2	1	2	2	0	1	0	1	2	1	0	1	1	1	0	2	2	3	0	0	0	1	1	0	1	2	2	1	2	2	2	1	2	1	1	2	2	1	2	2	0	2
PF00140	Sigma-70 factor, region 1.2	2	1	2	1	2	2	1	2	2	1	1	2	2	2	2	3	2	2	1	1	1	2	2	2	0	2	2	2	2	3	3	1	2	1	1	2	3	2	3	2	1	2
PF04545	Sigma-70, region 4	4	1	6	4	2	4	1	5	3	2	1	4	3	2	3	4	4	6	1	2	3	2	5	2	1	2	4	4	4	4	4	2	6	1	1	4	4	4	4	4	3	2
PF00226	DnaJ domain	3	2	6	3	3	4	3	4	3	3	2	4	3	1	2	1	3	6	2	3	3	1	4	3	2	3	2	4	4	2	4	2	6	1	1	4	2	4	4	2	2	3
PF00163	Ribosomal protein S4/S9 N-terminal domain	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	2	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
PF14437	MafB19-like deaminase	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
PF00177	Ribosomal protein S7p/S5e	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	2	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1
PF03717	Penicillin-binding Protein dimerisation domain	2	2	1	2	2	2	2	1	2	2	1	2	2	1	2	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	2
PF13469	Sulfotransferase family	2	0	2	2	0	4	0	1	7	1	0	3	3	2	1	2	2	2	0	2	1	2	1	0	0	3	0	0	0	3	2	2	2	0	0	0	3	0	1	0	1	3
PF13432	Tetratricopeptide repeat	5	3	13	7	3	8	5	5	5	8	4	5	9	3	5	8	5	14	1	7	4	2	5	3	2	2	3	6	2	11	6	6	13	2	2	2	11	6	6	3	11	2
PF13181	Tetratricopeptide repeat	1	0	2	1	1	3	2	2	3	1	6	3	4	0	3	5	1	3	4	0	2	0	2	1	0	0	10	2	14	10	3	1	2	0	0	14	10	2	2	10	0	0
PF01503	Phosphoribosyl-ATP pyrophosphohydrolase	1	2	1	2	2	1	0	1	1	2	0	1	1	1	1	1	1	1	1	2	1	1	1	2	0	1	2	1	2	1	1	2	1	1	1	2	1	1	1	2	0	1
PF06170	Protein of unknown function (DUF983)	1	0	0	0	1	1	0	0	0	0	1	2	2	0	1	0	1	0	1	0	1	0	0	1	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0	1	0	2
PF02699	Preprotein translocase subunit	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF01384	Phosphate transporter family	1	1	1	1	1	0	0	0	1	1	2	0	0	1	1	0	1	1	2	3	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1
PF00510	Cytochrome c oxidase subunit III	1	1	1	2	1	1	0	0	1	2	2	1	1	1	1	1	1	1	2	2	1	1	0	1	1	2	2	0	2	1	1	2	1	0	0	2	1	0	1	2	0	2
PF21176	RecR, helix-hairpin-helix	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1
PF21175	RecR, C-terminal	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	1
PF13662	Toprim domain	1	1	1	1	1	2	1	2	1	2	1	2	2	0	1	0	1	1	1	1	1	0	2	1	1	2	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	2
PF19833	ATP-dependent DNA helicase RecG, domain 3, C-terminal	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
PF04397	LytTr DNA-binding domain	1	1	1	1	1	4	1	1	1	1	4	3	2	1	2	2	1	1	3	1	2	1	2	1	0	0	17	1	11	3	3	1	1	1	1	11	3	1	2	17	0	0
PF00381	PTS HPr component phosphorylation site	1	0	2	1	1	1	0	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	1	1	0	1	0	0	0	1	1	1	2	1	1	0	1	0	1	0	1	1
PF00768	D-alanyl-D-alanine carboxypeptidase	2	2	2	1	2	2	1	1	1	1	0	2	1	1	2	1	2	2	0	1	2	1	1	2	2	1	0	1	0	1	1	1	2	1	1	0	1	1	1	0	1	1
PF01741	Large-conductance mechanosensitive channel, MscL	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	1
PF01575	MaoC like domain	1	3	4	4	3	2	2	2	2	3	0	4	1	2	4	1	1	3	0	3	3	2	2	3	2	0	1	3	0	2	2	3	3	3	3	0	2	3	2	1	2	0
PF01726	LexA DNA binding domain	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	2	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1
PF12627	Probable RNA and SrmB- binding site of polymerase A	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	0	2	1	1	2	1	1	1	1	2	1	2	2	2	2	0	0	1	2	2	2	1	0	1
PF01743	Poly A polymerase head domain	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	2	2	0	0	1	2	2	2	1	0	1
PF02617	ATP-dependent Clp protease adaptor protein ClpS	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
PF00639	PPIC-type PPIASE domain	1	1	1	1	1	0	1	2	1	2	1	1	0	1	1	0	1	1	1	2	2	1	2	1	1	2	1	2	2	2	2	1	1	0	0	2	2	2	2	1	0	2
PF09856	Short-chain fatty acyl coenzyme A regulators	2	0	0	0	2	1	0	0	0	0	0	0	0	2	2	0	2	0	0	0	2	2	0	2	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2
PF06114	IrrE N-terminal-like domain	1	0	2	0	1	1	0	1	0	0	1	2	2	1	1	1	1	2	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1
PF01381	Helix-turn-helix	5	4	5	4	9	7	3	6	8	1	1	10	10	9	10	2	6	8	2	3	7	9	4	9	5	5	6	10	5	12	9	6	4	6	6	5	12	10	6	3	3	5
PF12708	Pectate lyase superfamily protein	1	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PF17432	Domain of unknown function (DUF3458_C) ARM repeats	1	2	1	0	1	1	1	0	1	1	0	1	1	1	2	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
PF17900	Peptidase M1 N-terminal domain	1	1	1	0	1	2	1	0	2	1	1	2	1	1	2	0	1	1	3	1	1	1	0	1	0	1	2	1	2	2	3	1	1	1	1	2	2	1	3	2	1	1
PF11940	Domain of unknown function (DUF3458) Ig-like fold	1	1	1	0	1	1	1	0	1	1	0	1	1	1	2	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
PF01433	Peptidase family M1 domain	1	1	1	0	1	3	1	0	3	1	3	2	1	1	2	2	1	1	4	1	1	1	0	1	0	1	5	1	4	4	5	1	1	1	1	4	4	1	5	5	1	1
PF02683	Cytochrome C biogenesis protein transmembrane region	2	2	2	1	3	1	1	1	0	1	1	1	1	1	4	1	2	2	1	1	3	1	1	3	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1
PF00829	Ribosomal prokaryotic L21 protein	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF14520	Helix-hairpin-helix domain	2	3	4	4	3	4	3	2	3	4	3	4	1	1	3	1	2	4	4	4	6	1	2	3	3	3	3	4	4	4	4	4	4	1	1	4	4	4	4	3	3	3
PF00312	Ribosomal protein S15	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
PF13489	Methyltransferase domain	2	1	4	3	2	2	3	3	3	2	3	0	0	3	7	0	1	4	5	3	5	3	4	2	0	2	1	2	2	1	3	2	4	2	2	2	1	2	3	1	2	2
PF08421	Putative zinc binding domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF08484	C-methyltransferase C-terminal domain	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PF07978	NIPSNAP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF09837	Uncharacterized protein conserved in bacteria (DUF2064)	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	1	0	2	0	0	1	1	0	0	2	0	0	0	1	1	0
PF00679	Elongation factor G C-terminus	3	3	3	3	3	2	1	3	4	3	3	2	1	4	3	2	2	3	3	2	3	3	3	3	1	3	3	2	3	4	3	3	3	2	2	3	4	2	3	3	3	3
PF21018	TypA/BipA C-terminal domain	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF10137	CAP12/Pycsar effector protein, TIR domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16327	Cytochrome c-type biogenesis protein CcmF C-terminal	1	1	2	1	1	1	1	1	1	1	0	1	1	0	1	1	1	3	0	1	1	1	1	1	1	1	0	1	0	1	1	1	2	0	0	0	1	1	1	0	2	1
PF01171	PP-loop family	2	1	2	2	2	2	1	2	2	2	1	2	1	1	2	1	2	2	1	2	2	1	1	2	1	2	1	2	1	2	2	2	2	1	1	1	2	2	2	1	2	2
PF01656	CobQ/CobB/MinD/ParA nucleotide binding domain	3	1	3	2	1	1	1	3	0	4	0	1	1	2	2	0	2	4	0	4	2	2	3	1	2	4	0	2	0	1	1	4	3	0	0	0	1	2	1	0	3	3
PF02626	Carboxyltransferase domain, subdomain A and B	1	0	1	1	2	1	2	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	2	1	1	1	2	0	1	1	1	1	1	1	0	1	2	1	1	0	1
PF08713	DNA alkylation repair enzyme	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	0	0	1	1	1	2	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1
PF01522	Polysaccharide deacetylase	1	1	5	0	1	1	1	1	2	0	1	1	1	2	1	1	1	5	1	0	1	2	1	1	0	2	1	1	2	2	3	0	5	1	1	2	2	1	3	1	3	2
PF09349	OHCU decarboxylase	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	2	0	0	1
PF02504	Fatty acid synthesis protein	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1
PF06418	CTP synthase N-terminus	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF13426	PAS domain	3	1	7	2	2	1	7	9	4	2	0	1	1	4	5	8	3	7	0	2	4	4	7	2	3	3	2	10	7	12	9	2	7	4	4	7	12	10	10	2	3	3
PF02585	GlcNAc-PI de-N-acetylase	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	2	0	1	0	2	0	1
PF02361	Cobalt transport protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF13305	Tetracyclin repressor-like, C-terminal domain	1	1	1	4	1	3	1	1	1	3	0	1	2	0	4	0	1	2	0	3	4	0	1	1	1	3	0	1	0	1	1	5	1	0	0	0	1	1	1	0	0	3
PF12973	ChrR Cupin-like domain	2	1	3	0	2	3	0	2	2	1	0	2	2	1	2	2	2	3	0	1	2	1	1	2	0	0	0	0	0	2	2	0	3	1	1	0	2	0	2	0	2	0
PF00986	DNA gyrase B subunit, carboxyl terminus	2	2	2	2	2	2	2	2	2	2	1	2	2	1	3	0	2	3	1	2	3	1	2	2	0	2	1	2	1	2	2	2	2	1	1	1	2	2	2	1	1	2
PF00204	DNA gyrase B	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	3	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	2
PF01751	Toprim domain	3	3	4	2	3	3	4	4	4	4	3	3	2	2	4	0	3	6	3	3	3	2	4	3	0	3	3	4	4	3	4	3	4	2	2	4	3	4	4	3	3	3
PF02538	Hydantoinase B/oxoprolinase	1	3	0	1	0	0	1	1	0	1	0	0	0	0	2	0	1	1	0	1	3	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0
PF00085	Thioredoxin	3	2	2	3	4	4	3	3	2	3	2	4	4	3	4	3	3	2	2	3	4	3	3	4	0	2	3	3	4	3	2	3	2	3	3	4	3	3	2	3	0	2
PF01555	DNA methylase	1	2	0	0	1	2	1	1	0	1	0	1	1	2	2	2	1	0	0	1	2	2	1	1	0	1	0	0	0	2	1	1	0	1	1	0	2	0	1	0	0	1
PF18755	Restriction Enzyme Adenine Methylase Associated	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
PF01642	Methylmalonyl-CoA mutase	2	2	1	0	2	3	0	0	0	0	2	3	3	1	2	0	2	1	3	0	2	1	0	2	2	2	3	0	3	0	0	0	1	1	1	3	0	0	0	3	1	2
PF11014	Protein of unknown function (DUF2852)	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
PF03881	Fructosamine kinase	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0
PF00753	Metallo-beta-lactamase superfamily	7	5	8	9	9	11	6	9	8	10	1	8	8	5	12	6	7	10	1	11	11	5	7	9	4	9	8	9	6	11	9	10	8	2	2	6	11	9	8	7	6	9
PF02779	Transketolase, pyrimidine binding domain	4	5	4	2	5	5	3	2	3	3	4	5	3	2	6	4	4	4	5	4	5	2	2	5	2	5	7	3	6	4	4	3	4	2	2	6	4	3	4	7	2	5
PF02780	Transketolase, C-terminal domain	3	4	3	2	4	3	1	2	2	2	3	3	2	1	5	3	3	3	4	3	4	1	2	4	2	4	6	2	5	3	3	2	3	1	1	5	3	2	3	6	1	4
PF19335	Heavy metal binding domain	1	0	2	0	0	0	0	2	1	4	2	1	1	0	0	1	1	4	2	4	1	0	2	0	1	0	2	2	3	2	1	2	2	0	0	3	2	2	1	1	2	0
PF04945	YHS domain	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	3	0	0	0	0	0
PF01476	LysM domain	2	2	2	4	4	1	2	5	4	5	5	1	0	3	2	5	2	2	5	5	2	3	5	4	2	2	5	4	7	5	5	5	2	2	2	7	5	4	5	5	1	2
PF00709	Adenylosuccinate synthetase	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	2	1	2	0	2	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF14532	Sigma-54 interaction domain	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	2	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2
PF01451	Low molecular weight phosphotyrosine protein phosphatase	3	1	2	3	2	0	1	2	3	3	1	0	0	1	2	2	3	3	1	4	2	1	1	2	1	2	2	1	1	2	2	3	2	0	0	1	2	1	2	2	1	2
PF13410	Glutathione S-transferase, C-terminal domain	2	4	7	5	5	7	1	1	2	4	0	11	6	3	6	1	2	7	0	4	6	3	1	5	2	4	0	1	0	2	2	4	7	2	2	0	2	1	2	0	3	4
PF13409	Glutathione S-transferase, N-terminal domain	3	2	7	3	6	5	0	1	3	3	0	11	6	2	6	3	3	7	0	3	5	2	1	6	1	2	0	2	0	5	2	1	7	1	1	0	5	2	2	0	2	2
PF14696	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	2
PF01592	NifU-like N terminal domain	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
PF01989	Aconitase X swivel domain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF04412	Aconitase X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02922	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	3	1	0	0	2	0	0	0	0	5	1	0	1	3	4	0	1	0	0	1	3	0	4	1	1	4
PF01624	MutS domain I	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF05192	MutS domain III	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	0	2	1	1	1	1	1	1
PF05188	MutS domain II	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF00488	MutS domain V	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	4	1	1	1	1	0	0	4	1	1	1	2	1	1
PF05190	MutS family domain IV	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF01810	LysE type translocator	3	8	7	2	7	3	0	0	2	1	1	3	2	5	11	2	3	7	1	2	11	4	0	7	2	5	4	0	5	4	3	1	7	2	2	5	4	0	3	4	6	4
PF00353	RTX calcium-binding nonapeptide repeat (4 copies)	5	0	0	0	7	8	0	0	0	0	0	0	0	12	8	0	5	0	0	0	7	12	0	7	4	9	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	12
PF02525	Flavodoxin-like fold	2	0	3	2	0	3	2	1	1	1	0	1	3	2	1	1	2	4	0	1	1	2	1	0	0	1	0	2	1	1	2	1	3	2	2	1	1	2	2	0	0	1
PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
PF01967	MoaC family	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	2	1	1	1	0	0	0	2	1	1	1	1	1
PF01327	Polypeptide deformylase	3	2	1	1	3	1	0	1	1	1	1	1	1	1	3	1	3	1	1	1	3	1	1	3	0	3	1	1	2	1	1	1	1	1	1	2	1	1	1	1	0	3
PF12002	MgsA AAA+ ATPase C terminal	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF16193	AAA C-terminal domain	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF01746	tRNA (Guanine-1)-methyltransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02463	RecF/RecN/SMC N terminal domain	2	1	3	2	3	3	3	3	3	3	1	3	3	1	3	2	2	3	1	3	3	0	3	3	0	2	2	3	2	3	3	3	3	0	0	2	3	3	3	2	1	2
PF03576	Peptidase family S58	1	0	0	0	1	2	0	0	0	0	0	3	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PF17396	Domain of unknown function (DUF1611_N) Rossmann-like domain	1	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PF07755	Domain of unknown function (DUF1611_C) P-loop domain	1	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PF00625	Guanylate kinase	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
PF01245	Ribosomal protein L19	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF01501	Glycosyl transferase family 8	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF03481	Threonylcarbamoyl-AMP synthase, C-terminal domain	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
PF01300	Telomere recombination	1	1	2	2	1	1	2	1	2	2	1	1	1	1	1	3	1	2	2	2	1	0	2	1	0	1	3	2	2	3	3	2	2	0	0	2	3	2	3	3	1	1
PF00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1
PF18072	Formylglycinamide ribonucleotide amidotransferase linker domain	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PF17209	Hfq protein	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	2	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
PF16360	GTP-binding GTPase Middle Region	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PF13167	GTP-binding GTPase N-terminal	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PF19275	HflX C-terminal domain	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0
PF21697	Exopolyphosphatase, C-terminal	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PF14246	AefR-like transcriptional repressor, C-terminal domain	1	0	0	1	2	1	0	0	0	2	0	0	0	0	1	2	1	0	0	2	1	0	0	2	0	1	0	0	0	1	2	2	0	0	0	0	1	0	2	0	0	1
PF02674	Colicin V production protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF01434	Peptidase family M41	1	1	1	1	1	2	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	2	2	1	0	1
PF06480	FtsH Extracellular	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	2	1	1	1	1	1	1	0	1	1	2	1	0	0	1
