INTERPRO	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
IPR033934	Bacterial and archaeal 5-aminoimidazole-4-(N-succinylcarboxamide) ribonucleotide synthase	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
IPR028923	SAICAR synthetase/ADE2, N-terminal	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR001636	Phosphoribosylaminoimidazole-succinocarboxamide synthase	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
IPR000850	Adenylate kinase/UMP-CMP kinase	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR033690	Adenylate kinase, conserved site	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR007862	Adenylate kinase, active site lid domain	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0
IPR006259	Adenylate kinase subfamily	1	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	2	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
IPR013437	Probable peptidoglycan glycosyltransferase FtsW	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1
IPR029144	Threonine synthase, N-terminal	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1
IPR004450	Threonine synthase-like	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1
IPR037158	Threonine synthase, N-terminal domain superfamily	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1
IPR012127	Cytochrome c prime	1	0	0	0	2	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	2	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0
IPR004033	UbiE/COQ5 methyltransferase	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
IPR023576	UbiE/COQ5 methyltransferase, conserved site	1	0	1	1	1	1	0	1	2	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
IPR010195	Uncharacterised peroxidase-related	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IPR004675	Alkylhydroperoxidase AhpD core	1	0	2	0	2	1	0	1	0	0	1	3	2	1	1	0	1	2	1	0	1	0	1	2	0	0	3	0	3	0	0	1	2	0	0	3	0	0	0	3	1	0
IPR004404	Dihydroxy-acid dehydratase	1	0	2	2	2	1	1	1	1	2	0	1	0	1	1	1	1	2	0	3	1	1	1	2	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
IPR031321	Uncharacterised conserved protein UCP012641, putative zinc-binding metallo-peptidase	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1
IPR011201	Zinc-ribbon domain, bacteria	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR011867	Molybdenum transport system permease protein ModB	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	2	1	1	1	0	0	0	2	0	1	0	0	1
IPR005904	Hypoxanthine phosphoribosyl transferase	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IPR038078	PhoU-like domain superfamily	1	2	1	2	1	0	1	2	1	1	1	1	0	2	1	0	1	1	1	1	1	2	2	1	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1
IPR028366	Phosphate transport system protein PhoU	1	2	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0
IPR026022	PhoU domain	1	2	1	1	1	0	1	2	0	1	0	1	0	2	1	0	1	1	0	1	1	2	2	1	0	2	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1
IPR032609	Protein of unknown function DUF4893	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR002035	von Willebrand factor, type A	1	3	3	2	2	5	3	3	1	2	4	4	3	3	11	4	2	5	4	2	9	3	5	2	1	4	7	3	3	4	3	2	4	3	3	3	4	3	3	7	4	4
IPR006538	Cobalt chelatase, CobT subunit	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
IPR025861	Cobalamin biosynthesis protein CobT VWA domain	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
IPR005761	UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR014116	Cytochrome c oxidase cbb3 type, accessory protein FixG	1	0	1	1	1	1	2	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	2	1	1	1	1	1	0	0	1	1	2	1	1	1	0
IPR032879	FixG, C-terminal immunoglobulin-like domain	1	0	1	1	1	1	2	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	2	1	1	1	1	1	0	0	1	1	2	1	1	1	0
IPR001633	EAL domain	1	3	21	2	2	7	16	17	3	3	0	16	7	8	2	18	1	22	0	3	2	6	16	2	1	2	0	18	0	33	29	4	21	4	4	0	33	18	28	0	10	2
IPR035919	EAL domain superfamily	1	3	21	2	2	7	16	17	3	3	0	16	7	8	2	18	1	22	0	3	2	6	16	2	1	2	0	18	0	33	29	4	21	4	4	0	33	18	28	0	10	2
IPR021270	Protein of unknown function DUF2849	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR008255	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site	1	1	2	1	1	1	2	2	1	1	0	2	1	1	1	0	1	2	0	1	1	1	2	1	0	1	0	2	0	2	2	2	2	1	1	0	2	2	2	0	1	1
IPR005982	Thioredoxin reductase	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR037147	Large ribosomal subunit protein bL28 superfamily	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1
IPR001383	Large ribosomal subunit protein bL28, bacterial-type	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1
IPR026569	Large ribosomal subunit protein bL28	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1
IPR005886	UDP-glucose 4-epimerase	1	1	1	1	1	2	1	0	1	1	0	1	1	0	0	0	1	1	1	2	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR001216	Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site	1	1	2	2	1	1	2	2	1	2	0	1	1	1	1	0	1	2	1	3	1	1	2	1	0	1	1	2	2	1	1	2	2	1	1	2	1	2	1	1	2	1
IPR010389	Urate oxidase N-terminal	1	1	2	0	1	0	0	1	0	0	0	0	0	1	1	0	1	2	0	0	1	1	1	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1
IPR018130	Small ribosomal subunit protein uS2, conserved site	1	0	1	1	1	1	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR005706	Small ribosomal subunit protein uS2, bacteria/mitochondria/plastid	1	0	1	1	1	1	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR001865	Small ribosomal subunit protein uS2	1	0	1	1	1	1	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR023591	Small ribosomal subunit protein uS2, flavodoxin-like domain superfamily	1	0	1	1	1	1	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR003846	Protein adenylyltransferase SelO	1	0	2	1	1	1	0	0	1	1	1	1	1	0	1	1	1	2	1	1	1	0	0	1	0	1	0	1	1	1	1	1	2	0	0	1	1	1	1	0	2	1
IPR011789	Cu(I)-responsive transcriptional regulator	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IPR001133	NADH-ubiquinone oxidoreductase chain 4L/K	1	1	2	0	1	1	0	0	0	1	0	1	0	1	1	0	1	2	0	1	1	1	0	1	2	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	2	1
IPR034660	DinB/YfiT-like putative metalloenzymes	1	0	2	0	2	4	0	0	1	0	6	2	2	2	2	0	1	2	5	0	2	2	0	2	0	0	11	0	6	1	0	2	2	0	0	6	1	0	0	11	1	0
IPR007837	DNA damage-inducible protein DinB	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0
IPR019800	Glycoside hydrolase, family 3, active site	0	1	0	0	1	1	0	0	1	0	0	3	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	2	1	1	0	0	0	0	2	1	1	1	1	0	1
IPR006913	CENP-V/GFA domain	0	1	2	1	1	3	0	3	0	1	0	6	3	1	9	0	0	2	0	1	8	1	3	1	0	1	0	2	0	0	0	1	2	0	0	0	0	2	0	0	2	1
IPR017226	Betaine-homocysteine S-methyltransferase, BHMT	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0
IPR003766	Uronate isomerase	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
IPR021552	Putative, 10TM heavy-metal exporter	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR030802	ABC transporter permease MalE	0	1	1	0	1	1	1	1	0	0	1	2	2	1	2	1	0	1	1	0	2	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
IPR028894	Reductive dehalogenase domain	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IPR012832	Reductive dehalogenase	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000425	Major intrinsic protein	0	1	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
IPR034294	Aquaporin transporter	0	1	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
IPR039375	Nodulation protein N-like	0	1	2	2	1	1	0	0	1	2	0	1	0	0	1	0	0	1	0	2	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0
IPR037097	Photosynthetic reaction centre, H subunit, N-terminal domain superfamily	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR015810	Photosynthetic reaction centre, H subunit, N-terminal	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR005760	A/G-specific adenine glycosylase MutY	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	2	1	0	0
IPR041490	HTH-type transcriptional repressor KstR2, C-terminal	0	3	4	3	2	0	0	1	0	2	0	0	0	3	1	0	0	4	0	2	1	3	1	2	1	1	1	0	0	0	0	4	4	1	1	0	0	0	0	1	3	1
IPR019226	Protein of unknown function DUF2158	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000510	Nitrogenase/oxidoreductase, component 1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR042298	Proto-chlorophyllide reductase, C-terminal	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR013580	Light-independent protochlorophyllide reductase subunit B-like, C-terminal	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR049574	Spheroidene monooxygenase CrtA-like	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR009959	Polyketide cyclase SnoaL-like	0	2	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
IPR003672	CobN/magnesium chelatase	0	3	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
IPR011953	Cobaltochelatase, CobN subunit	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000559	Formate-tetrahydrofolate ligase, FTHFS	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1
