INTERPRO	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
-	-	2391	1580	3106	2391	2133	2316	2021	2238	1892	2424	1320	2665	1785	1905	3346	1963	2286	3437	1494	2533	3002	1844	2221	2137	1513	2583	2394	2444	2287	2858	2657	2595	3062	1281	1277	2287	2851	2442	2664	2292	1843	2422
IPR003593	AAA+ ATPase domain	100	64	126	61	84	51	59	62	53	67	29	57	43	79	137	50	95	132	33	67	124	78	65	83	52	129	59	66	54	80	70	72	126	59	58	54	80	66	70	57	71	114
IPR003439	ABC transporter-like, ATP-binding domain	75	43	77	31	55	22	29	27	28	31	20	28	21	64	104	21	70	79	17	32	94	63	30	55	41	98	36	30	31	37	34	34	77	46	46	31	37	30	35	34	35	83
IPR017871	ABC transporter-like, conserved site	63	34	63	24	49	15	20	19	24	24	10	21	15	49	85	18	59	65	10	25	76	50	21	49	34	83	26	22	23	31	30	27	63	35	35	23	31	22	31	25	30	71
IPR027417	P-loop containing nucleoside triphosphate hydrolase	198	132	243	156	166	142	148	171	144	168	99	155	109	167	267	137	181	277	104	185	231	162	163	168	111	228	153	176	149	196	182	171	240	110	110	149	196	176	172	141	151	209
IPR013563	Oligopeptide/dipeptide ABC transporter, C-terminal	13	4	3	1	7	1	1	0	0	1	0	1	1	6	10	0	12	3	0	1	8	6	0	7	6	11	1	1	1	1	1	1	3	3	3	1	1	1	1	1	2	10
IPR010421	Transcriptional cell cycle regulator TrcR	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR016188	PurM-like, N-terminal domain	3	1	2	3	2	4	3	1	3	3	2	4	2	2	2	2	3	2	1	3	2	2	2	2	1	3	3	3	2	3	2	3	2	0	0	2	3	3	2	3	2	3
IPR036921	PurM-like, N-terminal domain superfamily	3	1	3	4	2	4	4	2	4	4	3	4	2	2	2	3	3	3	2	4	2	2	3	2	1	3	4	4	3	4	3	4	3	0	0	3	4	4	3	4	3	3
IPR010918	PurM-like, C-terminal domain	3	1	3	3	2	4	4	1	3	3	2	4	2	2	2	3	3	3	2	3	2	2	2	2	2	3	4	4	3	4	3	3	3	0	0	3	4	4	3	4	3	3
IPR036676	PurM-like, C-terminal domain superfamily	3	1	3	4	2	4	4	2	4	4	3	4	2	2	2	3	3	3	2	5	2	2	3	2	2	3	4	4	3	4	3	4	3	0	0	3	4	4	3	4	3	3
IPR004733	Phosphoribosylformylglycinamidine cyclo-ligase	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR003509	UPF0102 protein YraN-like	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR011856	tRNA endonuclease-like domain superfamily	1	2	5	1	2	4	5	3	1	2	0	1	1	1	2	4	1	6	1	3	2	1	3	2	0	2	4	4	4	6	3	1	4	1	1	4	6	4	3	2	2	2
IPR011335	Restriction endonuclease type II-like	4	4	6	9	5	2	7	4	5	6	1	6	2	4	5	4	3	10	1	8	4	3	3	5	2	4	6	7	4	10	7	10	6	1	1	4	10	7	6	3	1	4
IPR002585	Cytochrome ubiquinol oxidase subunit 1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	2	1	1	0	1	0	0	1	0	1	2	0	1	1	2	3	1	1	0	0	1	2	1	3	0	1	2
IPR035906	MetI-like superfamily	55	35	42	10	33	3	9	8	4	11	0	9	3	41	81	2	54	42	0	11	70	36	9	33	34	62	2	7	2	8	7	13	41	29	29	2	8	7	8	2	19	55
IPR043429	ABC transporter membrane protein permease protein ArtM/GltK/GlnP/TcyL/YhdX-like	7	2	5	0	3	0	0	0	0	0	0	0	0	3	4	0	7	5	0	0	4	3	0	3	0	5	0	0	0	0	0	0	5	3	3	0	0	0	0	0	2	5
IPR000515	ABC transporter type 1, transmembrane domain MetI-like	55	32	41	10	33	3	9	8	4	10	0	9	3	41	80	2	54	41	0	10	70	36	9	33	33	60	2	7	2	8	7	12	40	29	29	2	8	7	8	2	18	54
IPR010065	Amino acid ABC transporter, permease protein, 3-TM domain	6	2	6	0	4	0	0	0	0	0	0	0	0	4	4	0	6	6	0	0	4	4	0	4	0	5	0	0	0	0	0	0	6	4	4	0	0	0	0	0	2	5
IPR020558	Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site	4	2	3	2	2	2	2	2	2	2	0	2	0	2	5	2	4	3	0	3	4	2	1	2	2	2	1	2	1	2	2	2	3	1	1	1	2	2	2	1	2	2
IPR000581	Dihydroxy-acid/6-phosphogluconate dehydratase	4	2	3	2	2	2	2	2	2	2	0	2	0	2	5	2	4	3	0	3	4	2	1	2	2	3	1	2	1	2	2	2	3	1	1	1	2	2	2	1	2	3
IPR042096	Dihydroxy-acid dehydratase, C-terminal	4	1	3	2	2	2	2	2	2	2	0	2	0	2	5	2	4	3	0	3	4	2	1	2	2	3	1	2	1	2	2	2	3	1	1	1	2	2	2	1	2	3
IPR037237	IlvD/EDD, N-terminal domain	4	2	3	2	2	2	2	2	2	2	0	2	0	2	5	2	4	3	0	3	4	2	1	2	2	3	1	2	1	2	2	2	3	1	1	1	2	2	2	1	2	3
IPR000825	SUF system FeS cluster assembly, SufBD	2	2	2	2	2	2	4	0	2	2	2	2	2	0	2	0	2	2	2	2	2	0	2	2	1	2	2	2	2	0	2	2	2	0	0	2	0	2	2	2	0	2
IPR045595	SUF system FeS cluster assembly, SufBD, N-terminal	1	0	1	1	2	1	4	0	1	1	2	1	1	0	1	0	1	1	2	1	1	0	2	2	1	1	2	2	2	0	2	1	1	0	0	2	0	2	2	2	0	1
IPR010231	SUF system FeS cluster assembly, SufB	1	0	1	1	1	1	2	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1
IPR037284	SUF system FeS cluster assembly, SufBD superfamily	2	3	2	2	2	2	4	0	2	2	2	2	2	0	2	0	2	2	2	2	2	0	2	2	1	2	2	2	2	0	2	2	2	0	0	2	0	2	2	2	0	2
IPR016152	Phosphotransferase/anion transporter	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	2	1	0	1	0	1	0	1	1	1	2	1	1	0	1	1	1	0	1	1
IPR002178	PTS EIIA type-2 domain	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	2	1	0	1	0	1	0	1	1	1	2	1	1	0	1	1	1	0	1	1
IPR036144	GTP cyclohydrolase II superfamily	3	1	2	1	2	1	2	2	2	1	0	1	0	1	2	2	3	2	2	2	2	1	3	2	1	3	2	2	1	2	2	1	2	1	1	1	2	2	2	2	2	3
IPR017945	DHBP synthase RibB-like alpha/beta domain superfamily	3	1	3	3	2	2	3	2	3	3	2	2	1	1	2	4	3	3	3	4	2	0	4	2	1	2	4	3	4	4	4	3	3	0	0	4	4	3	4	4	2	2
IPR000422	3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB	2	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	2	1	1	2	1	0	2	1	1	1	1	1	2	1	1	1	1	0	0	2	1	1	1	1	1	1
IPR032677	GTP cyclohydrolase II	3	1	2	1	2	1	2	2	2	1	0	1	0	1	2	2	3	2	2	2	2	1	3	2	1	3	2	2	1	2	2	1	2	1	1	1	2	2	2	2	2	3
IPR001674	GMP synthase, C-terminal	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	2	1	2	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
IPR025777	GMP synthetase ATP pyrophosphatase domain	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
IPR029062	Class I glutamine amidotransferase-like	16	18	16	11	20	19	8	13	11	15	5	16	11	13	23	10	14	18	9	15	23	14	12	20	11	17	19	10	11	14	17	14	16	6	6	11	14	10	17	19	11	17
IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	29	25	32	36	31	29	33	32	31	34	25	31	21	13	36	28	29	32	24	33	35	14	33	31	19	32	37	32	36	36	36	31	31	14	14	36	36	32	35	34	23	30
IPR017926	Glutamine amidotransferase	6	8	6	6	9	7	5	7	5	7	3	7	3	3	8	3	6	6	3	7	8	3	7	9	2	6	5	6	5	6	6	7	6	2	2	5	6	6	6	5	3	6
IPR004739	GMP synthase, glutamine amidotransferase	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
IPR022955	GMP synthase	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
IPR015803	Cysteine-tRNA ligase	1	0	1	1	1	1	0	1	1	1	1	1	1	0	2	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR032678	tRNA synthetases class I, catalytic domain	1	0	1	1	1	1	0	1	1	1	1	1	1	0	2	2	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR024909	Cysteinyl-tRNA synthetase/mycothiol ligase	1	0	1	1	1	1	0	1	1	1	1	1	1	0	2	2	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	6	3	7	6	7	6	3	6	6	6	4	6	4	1	7	6	6	6	6	5	7	1	5	7	4	5	6	5	6	6	6	6	6	0	0	6	6	5	6	6	6	5
IPR026255	NAD(P) transhydrogenase, alpha subunit	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
IPR007698	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain	1	2	2	1	3	2	1	2	1	1	0	3	0	2	2	0	1	2	2	1	2	2	2	3	2	3	2	2	2	1	2	1	2	2	1	2	1	2	2	2	0	3
IPR036291	NAD(P)-binding domain superfamily	104	92	108	110	93	103	72	65	71	92	40	128	80	77	156	60	91	116	46	98	148	78	59	91	69	117	80	79	83	89	92	114	108	47	46	83	89	79	93	77	68	112
IPR007886	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal	1	2	2	1	3	2	1	2	1	1	0	3	0	2	2	0	1	2	1	1	2	2	2	3	2	3	2	2	2	1	2	1	2	2	1	2	1	2	2	2	0	3
IPR024605	NAD(P) transhydrogenase, alpha subunit, C-terminal	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1
IPR002933	Peptidase M20	8	7	2	4	13	3	3	3	5	1	4	4	2	10	13	1	8	2	3	1	13	10	3	13	12	11	6	3	4	2	7	2	2	2	2	4	2	3	7	6	1	11
IPR011650	Peptidase M20, dimerisation domain	7	6	2	3	11	3	3	3	5	1	4	4	2	9	11	1	7	2	3	1	12	9	3	11	10	9	6	3	4	2	7	2	2	2	2	4	2	3	7	6	1	8
IPR015590	Aldehyde dehydrogenase domain	14	11	16	8	14	6	6	7	10	8	3	11	8	8	22	8	13	16	2	9	21	6	6	14	10	10	7	6	10	9	10	9	15	5	5	10	9	6	9	7	4	10
IPR016162	Aldehyde dehydrogenase, N-terminal	14	11	16	8	14	6	7	7	10	8	2	12	8	8	23	8	13	16	2	9	22	6	6	14	10	9	7	6	10	10	10	9	15	5	5	10	10	6	9	7	4	9
IPR029510	Aldehyde dehydrogenase, glutamic acid active site	7	4	10	6	8	2	4	4	5	5	1	6	1	6	13	3	6	10	2	4	11	5	4	8	3	5	3	4	7	4	5	5	10	4	4	7	4	4	5	3	1	5
IPR016163	Aldehyde dehydrogenase, C-terminal	13	9	16	8	14	6	5	7	10	8	2	11	8	8	23	6	12	16	2	9	22	6	6	14	9	9	7	6	10	10	10	9	15	5	5	10	10	6	9	7	4	8
IPR016161	Aldehyde/histidinol dehydrogenase	15	14	17	9	18	7	8	8	12	9	4	13	9	8	27	9	14	17	4	10	26	6	7	18	13	10	9	7	12	11	11	10	16	5	5	12	11	7	10	9	5	10
IPR043129	ATPase, nucleotide binding domain	16	13	14	14	13	13	14	14	12	13	7	15	7	7	21	15	16	17	8	14	20	6	13	13	11	18	13	15	10	19	17	14	14	4	4	10	19	15	16	13	10	15
IPR022496	tRNA threonylcarbamoyl adenosine modification protein TsaB	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR000905	Gcp-like domain	2	2	2	2	2	2	1	2	2	2	1	2	1	1	2	3	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	1	2	1	2
IPR044643	N-(5'-phosphoribosyl)anthranilate isomerase family	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	2	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1
IPR001240	N-(5'phosphoribosyl) anthranilate isomerase (PRAI) domain	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1
IPR013785	Aldolase-type TIM barrel	45	41	57	49	42	43	36	42	42	50	26	48	31	24	62	34	43	59	35	53	60	22	40	42	29	53	40	45	41	46	46	51	56	11	11	41	46	45	45	37	31	51
IPR011060	Ribulose-phosphate binding barrel	7	5	6	7	7	7	7	6	7	7	5	7	6	4	8	4	7	6	6	7	9	3	7	7	4	8	7	7	7	6	6	7	6	2	2	7	6	7	6	7	2	8
IPR029001	Inosine triphosphate pyrophosphatase-like	3	3	3	3	3	3	2	2	3	3	2	3	2	0	2	2	3	3	2	3	3	0	2	3	2	2	2	3	2	4	4	3	3	0	0	2	4	3	4	2	2	2
IPR002637	RdgB/HAM1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
IPR020922	dITP/XTP pyrophosphatase	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
IPR017439	Amidohydrolase	2	3	0	1	5	1	1	1	1	0	1	2	1	5	6	1	2	0	0	0	6	5	1	5	5	4	3	1	0	1	2	0	0	0	0	0	1	1	2	3	0	4
IPR036264	Bacterial exopeptidase dimerisation domain	7	5	2	4	12	3	3	3	4	1	2	4	2	9	12	1	7	2	1	1	12	9	3	12	10	9	5	3	3	2	6	2	2	1	1	3	2	3	6	5	1	8
IPR002781	Transmembrane protein TauE-like	4	4	4	4	7	3	3	6	2	3	2	4	1	1	7	4	4	4	2	3	6	1	6	7	2	4	5	3	1	5	6	4	4	0	1	1	5	3	6	5	2	4
IPR011059	Metal-dependent hydrolase, composite domain superfamily	10	6	10	3	11	8	2	4	10	5	5	14	9	8	24	10	10	11	4	5	24	8	6	11	9	10	14	2	8	12	9	5	10	3	3	8	11	2	9	15	2	10
IPR013108	Amidohydrolase 3	1	1	0	1	4	1	0	0	3	1	0	4	3	4	7	2	1	1	0	1	7	4	0	4	2	2	2	0	1	2	4	1	0	2	2	1	2	0	4	2	0	1
IPR032466	Metal-dependent hydrolase	19	13	14	8	15	12	8	8	16	9	5	25	10	11	32	16	18	17	7	10	31	11	10	15	10	18	19	6	10	22	17	13	14	5	5	10	21	6	17	20	5	18
IPR011527	ABC transporter type 1, transmembrane domain	5	2	7	2	7	4	3	3	7	2	4	5	3	7	11	4	5	7	2	2	9	8	3	7	4	7	5	3	5	7	9	3	7	5	5	5	7	3	9	5	5	6
IPR036640	ABC transporter type 1, transmembrane domain superfamily	5	2	7	2	7	4	3	3	7	2	4	5	3	7	11	4	5	7	2	2	9	8	4	7	5	7	5	3	5	7	10	3	7	5	5	5	7	3	10	6	5	6
IPR039421	Type 1 protein exporter	6	3	7	2	7	4	3	3	7	1	4	5	3	8	11	3	6	7	3	1	9	9	3	7	4	7	5	3	5	7	10	2	7	5	5	5	7	3	10	6	5	6
IPR029058	Alpha/Beta hydrolase fold	25	19	45	57	27	56	38	39	37	44	14	48	30	23	55	38	24	50	13	45	54	21	41	27	15	28	38	44	28	51	44	59	45	13	13	28	51	44	49	38	18	27
IPR009656	PHB de-polymerase, C-terminal	1	2	0	0	1	1	1	1	0	0	0	2	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	1
IPR010915	Polyhydroxyalkanoate depolymerase	1	2	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	1
IPR001969	Aspartic peptidase, active site	1	0	0	0	0	2	0	0	2	0	0	1	0	1	2	1	1	0	0	0	2	1	0	0	1	1	1	0	0	1	2	0	0	1	1	0	1	0	2	1	0	1
IPR021109	Aspartic peptidase domain superfamily	2	0	3	3	2	2	2	2	3	3	2	4	2	1	2	2	2	3	3	3	2	1	2	2	2	1	4	2	4	2	4	3	3	1	1	4	2	2	5	4	3	1
IPR011969	Clan AA aspartic peptidase, C-terminal	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1
IPR034122	Retropepsin-like domain, bacterial	1	0	0	0	1	1	0	0	0	0	1	2	0	1	1	1	1	0	1	0	1	1	0	1	1	1	2	0	2	1	2	0	0	1	1	2	1	0	3	2	0	1
IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	36	27	57	48	40	51	47	51	46	48	23	45	30	36	57	35	30	61	31	56	47	34	56	40	19	33	45	58	38	51	48	56	55	23	22	38	51	58	50	43	36	33
IPR000682	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	2	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
IPR016167	FAD-binding, type PCMH, subdomain 1	11	4	6	3	6	2	1	3	3	3	1	4	2	1	5	0	12	6	2	3	5	1	3	6	5	5	1	2	1	4	4	3	6	2	2	1	4	2	4	1	3	4
IPR016169	FAD-binding, type PCMH, subdomain 2	17	5	9	6	12	4	4	5	5	6	4	6	4	4	13	2	18	9	5	6	13	4	5	12	9	10	4	5	5	7	6	6	9	6	6	5	7	5	6	4	5	9
IPR016171	Vanillyl-alcohol oxidase, C-terminal subdomain 2	5	2	2	3	4	1	1	1	2	3	0	2	1	2	4	0	5	2	1	3	5	2	1	4	2	2	1	1	1	1	0	3	2	3	3	1	1	1	0	1	1	2
IPR004113	FAD-binding oxidoreductase/transferase, type 4, C-terminal	6	2	3	2	4	1	1	1	2	2	1	1	1	2	4	1	6	3	1	2	6	2	1	4	3	2	1	1	1	1	0	2	3	2	2	1	1	1	0	1	2	2
IPR006094	FAD linked oxidase, N-terminal	9	3	4	4	7	2	1	2	3	4	2	4	2	2	7	1	9	4	2	4	8	2	2	7	3	4	2	2	2	5	3	4	4	4	4	2	5	2	3	2	3	4
IPR016164	FAD-linked oxidase-like, C-terminal	8	2	3	2	5	1	1	1	2	2	0	1	1	2	6	1	8	3	1	2	7	2	1	5	4	3	1	1	1	3	3	2	3	3	3	1	3	1	3	1	2	3
IPR016166	FAD-binding domain, PCMH-type	15	4	7	4	10	2	1	3	3	4	2	4	2	3	11	1	16	7	2	4	11	3	3	10	7	7	2	2	3	5	4	4	7	5	5	3	5	2	4	2	3	6
IPR036318	FAD-binding, type PCMH-like superfamily	17	5	9	6	12	4	4	5	5	6	4	7	4	4	13	2	18	9	5	6	13	4	5	12	9	10	4	5	5	7	6	6	9	6	6	5	7	5	6	4	5	9
IPR019999	Anthranilate synthase component I-like	1	1	2	2	1	2	1	2	2	2	0	2	1	2	1	1	1	2	1	2	1	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
IPR015890	Chorismate-utilising enzyme, C-terminal	1	1	2	2	1	2	1	2	2	2	1	2	1	2	1	1	1	2	2	2	1	2	2	1	0	2	3	2	3	2	2	2	2	2	2	3	2	2	2	3	1	2
IPR005256	Anthranilate synthase component I, PabB-like	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1
IPR005801	ADC synthase	1	1	2	2	1	2	1	2	2	2	1	2	1	2	1	2	1	2	2	2	1	2	2	1	0	2	3	2	3	2	2	2	2	2	2	3	2	2	2	3	1	2
IPR006805	Anthranilate synthase component I, N-terminal	1	1	1	1	1	2	1	1	2	1	0	2	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	2	2	2	1	1	1	1	2	2	1	2	1	0	1
IPR010994	RuvA domain 2-like	5	3	5	5	4	4	6	4	5	5	5	5	2	2	4	4	5	5	6	5	6	2	4	4	5	6	7	6	6	5	6	5	5	1	1	6	5	6	5	7	2	6
IPR023874	DNA modification/repair radical SAM protein, putative	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
IPR006638	Elp3/MiaA/NifB-like, radical SAM core domain	8	2	8	8	7	9	6	9	6	7	5	9	7	6	8	4	8	8	6	7	8	6	8	7	4	9	9	7	7	9	8	7	8	6	6	7	9	7	8	9	4	9
IPR007197	Radical SAM	10	6	13	14	10	11	9	12	9	12	6	15	9	7	11	7	10	13	9	13	10	7	11	10	6	11	15	10	11	12	12	12	13	6	6	11	12	10	12	14	6	11
IPR000709	Leu/Ile/Val-binding protein	1	0	2	0	0	0	0	0	0	1	0	0	0	3	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0
IPR028082	Periplasmic binding protein-like I	10	12	15	3	9	4	5	5	4	3	1	7	3	12	22	5	10	16	1	3	21	11	5	9	8	26	2	5	5	7	8	3	15	10	10	5	7	5	7	2	3	22
IPR028081	Leucine-binding protein domain	4	4	8	2	5	1	0	0	0	0	0	1	1	9	6	0	4	8	0	0	5	8	0	5	5	6	1	0	0	0	0	2	8	7	7	0	0	0	0	1	1	6
IPR006108	3-hydroxyacyl-CoA dehydrogenase, C-terminal	3	3	5	4	4	3	2	3	3	2	2	2	2	3	7	3	3	5	1	1	7	3	3	4	5	3	3	3	2	4	3	3	5	2	2	2	4	3	4	3	3	3
IPR029045	ClpP/crotonase-like domain superfamily	12	17	25	20	24	28	10	12	17	18	10	33	17	18	31	18	12	26	11	17	27	17	12	24	19	18	17	12	17	20	19	23	25	21	21	17	20	12	20	17	13	18
IPR001753	Enoyl-CoA hydratase/isomerase	5	10	13	10	14	14	4	5	6	8	4	21	11	11	20	8	5	13	4	7	15	11	6	14	10	10	5	5	5	8	8	11	13	15	15	5	8	5	9	5	6	10
IPR006176	3-hydroxyacyl-CoA dehydrogenase, NAD binding	3	3	5	4	5	3	2	3	4	2	1	2	2	3	6	3	3	5	1	1	6	3	3	5	5	3	3	3	2	4	3	3	5	2	2	2	4	3	4	3	3	3
IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily	14	18	20	14	14	10	11	10	12	14	5	13	9	9	29	10	13	23	6	14	26	10	11	14	11	16	11	13	11	17	14	16	20	6	6	11	17	13	15	11	13	16
IPR024199	Uncharacterised conserved protein, DsbB-like	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR003752	Disulphide bond formation protein DsbB/BdbC	1	1	1	1	2	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	2	2	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1
IPR023380	DsbB-like superfamily	1	1	1	1	2	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	2	2	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1
IPR010775	Protein of unknown function DUF1365	1	2	1	1	1	1	1	1	1	0	0	1	0	1	1	2	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0
IPR007709	N-formylglutamate amidohydrolase	1	1	0	0	3	1	0	0	0	0	0	2	1	3	4	1	1	0	0	0	4	3	0	3	1	2	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	2
IPR036594	Methionine synthase domain	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1
IPR006158	Cobalamin (vitamin B12)-binding domain	3	3	2	1	3	3	1	1	1	1	3	3	2	2	5	1	3	2	3	1	3	2	1	3	3	3	3	1	3	1	1	1	2	2	2	3	1	1	1	3	2	3
IPR036724	Cobalamin-binding domain superfamily	3	4	2	1	3	3	1	1	1	1	3	4	3	2	5	1	3	2	3	1	3	2	1	3	3	3	4	1	3	1	1	1	2	2	2	3	1	1	1	4	2	3
IPR003759	Cobalamin (vitamin B12)-binding module, cap domain	1	0	1	1	1	1	1	1	1	1	2	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1
IPR002823	Protein of unknown function DUF112, transmembrane	12	1	0	0	2	0	0	0	0	0	0	0	0	3	3	0	10	0	0	0	3	2	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
IPR009936	Protein of unknown function DUF1468	12	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	10	1	0	0	2	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2
IPR031571	Flp pilus assembly protein RcpC/CpaB domain	1	0	0	1	1	1	0	0	0	1	0	2	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IPR017592	Pilus assembly, Flp-type CpaB	1	0	0	1	1	1	0	0	0	1	0	2	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
