Module	Module_description	Pathway	Pathway_description	Cycle	Pathway_cycle	Detail_cycle	Genes	Gene_description	Enzyme	KO	rbims_pathway	rbims_sub_pathway	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
NA	NA	NA	NA	NA	NA	NA	ABC.SS.A	simple sugar transport system ATP-binding protein [EC:7.5.2.-]	NA	K02056	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	NA	map00030	Pentose phosphate pathway	NA	NA	NA	rbsK, RBKS	ribokinase [EC:2.7.1.15]	ec:2.7.1.15	K00852	NA	NA	2	1	0	0	1	1	0	0	0	0	0	2	1	1	3	1	1	0	0	0	3	1	0	1	0	2	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1
NA	NA	map01100	Metabolic pathways	NA	NA	NA	rbsK, RBKS	ribokinase [EC:2.7.1.15]	ec:2.7.1.15	K00852	NA	NA	2	1	0	0	1	1	0	0	0	0	0	2	1	1	3	1	1	0	0	0	3	1	0	1	0	2	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1
NA	NA	map00030	Pentose phosphate pathway	NA	NA	NA	deoC, DERA	deoxyribose-phosphate aldolase [EC:4.1.2.4]	ec:4.1.2.4	K01619	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1
NA	NA	map01100	Metabolic pathways	NA	NA	NA	deoC, DERA	deoxyribose-phosphate aldolase [EC:4.1.2.4]	ec:4.1.2.4	K01619	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00010	Glycolysis / Gluconeogenesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00010	Glycolysis / Gluconeogenesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00010	Glycolysis / Gluconeogenesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00053	Ascorbate and aldarate metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00053	Ascorbate and aldarate metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00053	Ascorbate and aldarate metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00071	Fatty acid degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00071	Fatty acid degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00071	Fatty acid degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00280	Valine, leucine and isoleucine degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00280	Valine, leucine and isoleucine degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00280	Valine, leucine and isoleucine degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00310	Lysine degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00310	Lysine degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00310	Lysine degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00330	Arginine and proline metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00330	Arginine and proline metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00330	Arginine and proline metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00340	Histidine metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00340	Histidine metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00340	Histidine metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00380	Tryptophan metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00380	Tryptophan metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00380	Tryptophan metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00410	beta-Alanine metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00410	beta-Alanine metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00410	beta-Alanine metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00561	Glycerolipid metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00561	Glycerolipid metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00561	Glycerolipid metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00620	Pyruvate metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00620	Pyruvate metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00620	Pyruvate metabolism	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00625	Chloroalkane and chloroalkene degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00625	Chloroalkane and chloroalkene degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00625	Chloroalkane and chloroalkene degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00770	Pantothenate and CoA biosynthesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00770	Pantothenate and CoA biosynthesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00770	Pantothenate and CoA biosynthesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00903	Limonene degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00903	Limonene degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00903	Limonene degradation	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00981	Insect hormone biosynthesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00981	Insect hormone biosynthesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map00981	Insect hormone biosynthesis	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map01100	Metabolic pathways	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map01100	Metabolic pathways	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map01100	Metabolic pathways	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
M01047	Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: ethanol, acetate to acetylaldehyde	aldehyde dehydrogenase (NAD+)	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ec:1.2.1.3	K00128	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
