pathway	zr2502_1_R1	zr2502_10_R1	zr2502_11_R1	zr2502_12_R1	zr2502_13_R1	zr2502_14_R1	zr2502_15_R1	zr2502_17_R1	zr2502_18_R1	zr2502_19_R1	zr2502_2_R1	zr2502_20_R1	zr2502_21_R1	zr2502_22_R1	zr2502_23_R1	zr2502_24_R1	zr2502_25_R1	zr2502_26_R1	zr2502_27_R1	zr2502_28_R1	zr2502_29_R1	zr2502_3_R1	zr2502_30_R1	zr2502_31_R1	zr2502_32_R1	zr2502_33_R1	zr2502_34_R1	zr2502_35_R1	zr2502_36_R1	zr2502_37_R1	zr2502_38_R1	zr2502_39_R1	zr2502_4_R1	zr2502_40_R1	zr2502_41_R1	zr2502_42_R1	zr2502_43_R1	zr2502_44_R1	zr2502_45_R1	zr2502_46_R1	zr2502_47_R1	zr2502_48_R1	zr2502_49_R1	zr2502_5_R1	zr2502_50_R1	zr2502_51_R1	zr2502_52_R1	zr2502_53_R1	zr2502_54_R1	zr2502_6_R1	zr2502_7_R1	zr2502_8_R1	zr2502_9_R1
DAPLYSINESYN-PWY	498.5294463762824	1276.5225435930909	374.70567028330953	727.9414551999037	0.0	839.4090941457309	886.1751221506664	684.3427059670548	1900.232255464087	580.9547450507603	883.7937132586313	783.0267941552879	1136.95557411128	393.0252986107503	474.4891219479268	1372.390629556077	789.9015927886696	1594.5489612213257	845.5424245149403	1298.8226938975713	1018.9348100495615	592.30928645288	1449.9004177446172	1451.9063061970187	1216.7674261018763	949.4206742482779	752.1223603527928	857.3736833687534	642.3537798460782	1436.5797081004512	1557.7372778229676	1220.3897497355997	1928.35448802208	1258.4533050723633	1548.8881752527516	1477.3033779237348	1253.062120625484	881.1742204735774	1393.306570922679	1830.9613823279853	814.5850869719649	1740.3487589434453	1647.8935661931596	1149.7756043143122	1058.1017304328466	454.9700282826026	1186.2086533910744	2130.382110700429	1259.0251139499949	1292.046209434551	1364.5514057169785	2081.1609366445737	1493.1425088348542
DENITRIFICATION-PWY	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	205.0	0.0	0.0	13.688829626037942	294.69976960911214	0.0	252.55696202531647	0.0	0.0	0.0	32.0	0.0	205.0	0.0	0.0	0.0	0.0	0.0
DENOVOPURINE2-PWY	587.8278475807717	1028.2327167428673	585.4687000260059	967.0821476889712	312.36176961296593	107.73921526516563	831.5954119448531	802.9996206351011	1826.967298003989	858.6461203196098	1097.4667446060591	772.3842327333712	1077.3079618079612	483.2684670292223	606.7563688091715	1202.0126369425525	1204.1620768396813	1626.239338355121	892.5449795119467	1302.6967985758256	1345.1657724433394	628.3381250725797	1595.0237385749035	1290.8820473852684	1007.2846643980586	1028.3258166169712	1662.8894011226685	968.8200580905421	1009.0678628961554	1443.9137950281804	1421.5984980305072	1118.0388089301994	1803.6532565537814	1968.8673328423536	1369.849441512388	1222.0282042640097	966.7483931524583	733.4714937430073	1163.5062004143638	1030.619751455119	622.5516829321132	1502.379107361811	1494.2503185777498	1480.717174901364	839.9772540349912	655.3116711397348	586.4529860269803	2214.567809598235	1560.2765398677614	1565.921300423241	1505.5251167509994	1322.1298472249546	1510.547611428742
DHGLUCONATE-PYR-CAT-PWY	0.0	393.6748593563094	0.0	0.0	0.0	0.0	0.0	108.61159929701232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.48050425796575	2.013792009258516	0.0	0.0	0.0	596.6762685575005	295.6527712926002	338.57849462365596	236.40552995391704	234.4894011247786	266.90184049079755	0.0	0.0	0.0	0.0	0.0	0.0	258.88888888888886	0.0	0.0	0.0	0.0	249.65553954626077	347.77777777777777
DTDPRHAMSYN-PWY	697.8111946533	1323.9814724775763	558.3433485270882	1136.8846321288638	373.0	1035.3414326706215	1093.893613766336	905.9574025621274	2221.251566513787	1026.4086091323047	1468.2031149268396	909.705205479452	1379.7997355506316	248.09363558647524	426.8279655928344	1743.75	1473.5497034955172	2248.86648740716	1026.3568911562634	1892.3541260801956	1447.1516034901056	1382.893741733843	1998.0784734412994	2389.440649065145	1509.0484273589616	933.0	1685.493130028031	917.5901639344264	1118.3617138133516	1287.9832037831245	1336.0682739412698	839.2914798620394	2289.5377731475564	2068.8844897607983	1528.2486953213347	1429.7774443304738	1053.1179731356474	837.8469545595023	1210.212192561748	1669.5482238552013	1763.4048208370139	2109.170071315637	1963.8750766812648	1512.7370648828448	1881.5306917821483	856.0699669468723	1521.0025110674972	2930.401103261508	2030.7242359080194	1739.1267443876568	1384.0	2180.104144692771	1712.121289012941
ENTBACSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.17122684086166	82.74024448548093	125.93949614433306	0.0	0.0	35.72237495273624	67.7761906804903	106.80961794476724	82.57889611501307	78.66210064922343	0.0	40.87249044177674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAO-PWY	381.6666020114842	1246.8346607580265	427.41577845506555	1005.0870726814471	0.0	976.7319981261783	1532.4308087435436	580.9209009592829	1795.405830896655	433.19217510275223	1101.4987708474857	579.0399765949888	1418.0539762004596	308.0398372316937	482.0514280708639	1108.7601734116301	342.6112611004875	1126.5735612779451	1390.2880216746807	1206.418970575027	390.88462462960257	948.870816041736	1564.2548861650923	2081.5768469403533	342.5101255536295	1440.5066555740434	412.9682886724938	1246.2481468774515	243.91276217177978	2179.885454838008	2197.7106991234295	1832.4685280470364	2326.616323390012	614.3030827611439	1692.233839310556	1661.2390522197425	1546.3892611820909	983.3414972721436	1559.7419084186208	2433.912584606608	1648.4446776565767	1936.1011393402982	1327.466527591594	2210.8447565682964	1409.0307622941793	188.8769285301196	1296.4287808828217	2692.717412769434	589.4260580315129	2541.152816175147	2267.89717750307	2214.451915086776	1064.5339800741642
FASYN-ELONG-PWY	447.40283432675375	1541.0557800121887	515.4183424814458	963.042437695274	0.0	1766.4029760332173	1858.8375123146607	652.1749766014032	2571.66630234835	791.5313867550418	671.5492274884567	1146.7183453085352	2268.5614723682256	679.86869172859	914.9893101415665	1967.3377192589196	847.644337495128	2245.617152659918	1266.3875401219623	1777.1651154432934	855.2688586720727	691.2232123854566	1835.0810924531017	1787.9325493786178	1355.2569519138399	1285.4518662142	738.1269501418275	1124.452070147485	647.0068043231647	2146.1356262162403	2001.4253816472012	1654.2313539636145	2472.238468899071	1709.4529459875	2330.9730592313995	1959.5154272488144	1616.9250229085753	1297.955581098184	1943.9012526140343	2301.9235889477513	2124.7213305395157	2326.6629152800365	2247.6777367888667	1344.4205546603123	1561.7597332875255	515.4085130238687	1814.3427217920946	2833.286667647146	1188.3888135579014	1391.1323854184566	1841.2056652811489	3024.9028179879583	1876.8072710092001
FASYN-INITIAL-PWY	0.0	1058.4567161025032	323.1638766088267	795.1189744820708	0.0	0.0	504.4641936405483	411.02810532235054	1825.9293010548681	237.07261904269623	471.3666368328157	921.180222666604	823.9580847116019	0.0	0.0	1121.2058121448233	363.12922434665603	1211.4656635487713	390.34453395514896	963.5433692846815	415.2936767538016	0.0	533.9927014717182	566.5995092854748	1102.4109589041095	1027.2233201531044	546.9194132026493	905.562121435958	518.3730893558198	1637.8551260058891	1543.5261508943618	1249.8419589486305	1124.9833480028353	347.21205514992687	1848.0570785014825	1613.5956246046462	1246.8326872536943	988.1280234109936	1580.351170176404	1607.486008019224	554.9485161548012	1719.1364174970877	262.7471319853208	571.3397846941232	607.148954619247	293.4384696245541	859.7724596790945	1342.742320717324	910.0653216067261	1045.8047882231197	1460.1178698137503	1558.1761848743806	1496.7056789381586
FERMENTATION-PWY	0.0	687.214015309277	339.6132064888972	593.0449456070926	0.0	792.1989640699007	673.8540397693764	394.3389571177641	1231.264018222807	488.49069141266705	704.06494288231	704.4585647723089	953.5879299049669	78.6458828444487	144.14350042154038	986.4980097109913	608.0857768593116	651.2872761305143	668.4593624480252	735.0543705632757	438.56480538414405	0.0	844.7419216825579	792.1710373620358	875.7807696618771	989.5630067014876	884.3414922057441	875.372922262146	367.56144518945644	1492.6944346075288	1299.806121881163	1267.1804932790415	1244.3494966657631	979.3194135053012	1158.268770986038	1088.9844210345202	807.5407400597452	779.4887962924143	948.0909853501049	663.6644299122389	843.9642179194973	1026.1108544389576	339.73563956312296	889.5896954869593	430.5750927570626	277.7859499090521	564.67895963719	1420.8746376162146	724.5705697131958	1200.517373976864	1483.2553397653753	939.5033258279644	1051.9048247406506
FOLSYN-PWY	450.3395398096257	1393.1426164261782	580.7316718902587	991.3327787676905	290.80395136778117	1056.3802579704288	1171.710036836816	803.1519879486772	1993.5735027575429	840.4809603214787	963.088950393901	927.2698734026272	1472.2931375052403	483.7271362315814	642.9751719844518	1409.5328706083649	1050.413788266032	1374.5724865489929	1100.5452751627358	1353.6417560797768	1020.5848829001349	453.409617522343	1238.2965737237312	1219.3416710641395	1271.8305409822692	1034.614911952042	1292.6272916016233	953.4381445993381	973.6184419033159	1491.934316987389	1552.8689829216262	1160.8072337944905	1817.9512208716037	1553.9439445290402	1676.5625410313617	1455.747873672847	1342.4619044316707	870.5267860188947	1386.1047417723278	1526.09311336027	1373.6756346898542	1496.9994324182064	1584.6217093107696	1158.0581098454008	1062.7440589549465	447.0487758091042	1261.6401299868755	2090.4933503870316	1417.675972664304	1472.747393340871	1438.9525712392476	2265.8097671014566	1621.979616524676
